timestamp,dataset,method,purity,status,elapsed_sec,elapsed_min,ave_acc,std_acc,runs,epochs,model,log_file,error
2026-05-18T03:40:19.284372,cora,degree,0.7,success,6.5,0.11,0.8727,0.0091,20,60,GCN,logs_v2/cora_degree_p0.700.log,
2026-05-18T03:40:25.956358,cora,degree,0.8,success,6.7,0.11,0.8685,0.0082,20,60,GCN,logs_v2/cora_degree_p0.800.log,
2026-05-18T03:40:32.177875,cora,degree,0.9,success,6.2,0.10,0.8626,0.0091,20,60,GCN,logs_v2/cora_degree_p0.900.log,
2026-05-18T03:40:38.048994,cora,degree,0.95,success,5.9,0.10,0.8655,0.0077,20,60,GCN,logs_v2/cora_degree_p0.950.log,
2026-05-18T03:40:44.220557,cora,degree,0.975,success,6.2,0.10,0.8647,0.0075,20,60,GCN,logs_v2/cora_degree_p0.975.log,
2026-05-18T03:40:50.091505,cora,degree,1.0,success,5.9,0.10,0.8632,0.0073,20,60,GCN,logs_v2/cora_degree_p1.000.log,
2026-05-18T03:40:56.713383,cora,degree_centrality,0.7,success,6.6,0.11,0.8762,0.0100,20,60,GCN,logs_v2/cora_degree_centrality_p0.700.log,
2026-05-18T03:41:03.436334,cora,degree_centrality,0.8,success,6.7,0.11,0.8635,0.0087,20,60,GCN,logs_v2/cora_degree_centrality_p0.800.log,
2026-05-18T03:41:09.607747,cora,degree_centrality,0.9,success,6.2,0.10,0.8650,0.0081,20,60,GCN,logs_v2/cora_degree_centrality_p0.900.log,
2026-05-18T03:41:15.479479,cora,degree_centrality,0.95,success,5.9,0.10,0.8658,0.0070,20,60,GCN,logs_v2/cora_degree_centrality_p0.950.log,
2026-05-18T03:41:21.600771,cora,degree_centrality,0.975,success,6.1,0.10,0.8639,0.0076,20,60,GCN,logs_v2/cora_degree_centrality_p0.975.log,
2026-05-18T03:41:27.521830,cora,degree_centrality,1.0,success,5.9,0.10,0.8668,0.0080,20,60,GCN,logs_v2/cora_degree_centrality_p1.000.log,
2026-05-18T03:41:36.796739,cora,closeness,0.7,success,9.3,0.15,0.8652,0.0082,20,60,GCN,logs_v2/cora_closeness_p0.700.log,
2026-05-18T03:41:46.071600,cora,closeness,0.8,success,9.3,0.15,0.8676,0.0104,20,60,GCN,logs_v2/cora_closeness_p0.800.log,
2026-05-18T03:41:54.795862,cora,closeness,0.9,success,8.7,0.15,0.8761,0.0097,20,60,GCN,logs_v2/cora_closeness_p0.900.log,
2026-05-18T03:42:03.419997,cora,closeness,0.95,success,8.6,0.14,0.8736,0.0068,20,60,GCN,logs_v2/cora_closeness_p0.950.log,
2026-05-18T03:42:12.194384,cora,closeness,0.975,success,8.8,0.15,0.8773,0.0070,20,60,GCN,logs_v2/cora_closeness_p0.975.log,
2026-05-18T03:42:20.818817,cora,closeness,1.0,success,8.6,0.14,0.8750,0.0080,20,60,GCN,logs_v2/cora_closeness_p1.000.log,
2026-05-18T03:42:39.404965,cora,betweenness,0.7,success,18.6,0.31,0.8692,0.0091,20,60,GCN,logs_v2/cora_betweenness_p0.700.log,
2026-05-18T03:42:57.941236,cora,betweenness,0.8,success,18.5,0.31,0.8634,0.0101,20,60,GCN,logs_v2/cora_betweenness_p0.800.log,
2026-05-18T03:43:16.527356,cora,betweenness,0.9,success,18.6,0.31,0.8637,0.0073,20,60,GCN,logs_v2/cora_betweenness_p0.900.log,
